old_lib,old_name,new_lib:new_name
kria-k26-devboard,1140084168,antmicroMemoryConnectorsPCCardSockets:MicroSD_1140084168
kria-k26-devboard,2199119-6,antmicroPciConnectors:Bus_M.2_2199119-6
kria-k26-devboard,22-23-2021,antmicroRectangularConnectorsHeadersMalePins:PinHeader_1x2_P2.54mm_Drill1.02mm
kria-k26-devboard,47272-0001,antmicroUSBDVIHDMIConnectors:DisplayPort_Mini_47272-0001
kria-k26-devboard,4x33R_0201_array,antmicroResistorNetworksArrays:R_4x33R_0201_array
kria-k26-devboard,5-2337992-8,antmicroModularConnectorsJacksWithMagnetics:Bus_RJ45_5-2337992-8
kria-k26-devboard,74AVC4T245RSVRG4,antmicroLogicTranslatorsLevelShifters:74AVC4T245_UQFN
kria-k26-devboard,74LCX07BQX,antmicroLogicGatesandInverters:74LCX07_QFN
kria-k26-devboard,93LC66BT-IMC,antmicroMemory:93LC66BT_DFN
kria-k26-devboard,9774015243R,antmicroMechanicalParts:Spacer_H1.5mm_9774015243R
kria-k26-devboard,ABM8G-12.000MHZ-18-D2Y-T,antmicroCrystals:Oscillator_SMD_12MHz_KX-7
kria-k26-devboard,AX3DAF1-125.0000,antmicroOscillators:Oscillator_SMD_125MHz_AX3
kria-k26-devboard,BLM15PD121SN1D,antmicroFerriteBeadsandChips:FB_120Z_1.3A_0402
kria-k26-devboard,C_100n_0402_16V,antmicroCapacitorsmisc:C_100n_16V_0402
kria-k26-devboard,C_100n_0402_50V,antmicroCapacitorsmisc:C_100n_50V_0402
kria-k26-devboard,C_1u_0603_25V,antmicroCapacitors0603:C_1u_25V_0603
kria-k26-devboard,C_22u_0603_16V,antmicroCapacitors0603:C_22u_16V_0603
kria-k26-devboard,C_22u_2220_100V,antmicroCapacitorsmisc:C_22u_100V_2220
kria-k26-devboard,DC_SOCKET,antmicroBarrelAudioConnectors:BarrelJack_3167288
kria-k26-devboard,DP83867CRRGZR,antmicroInterfaceControllers:DP83867CR_VQFN
kria-k26-devboard,DTC014TEBTL,antmicroTransistorsBipolarSingle:DTC014T_SOT-416
kria-k26-devboard,ECS-2016MV-240-BN-TR3,antmicroCrystals:Oscillator_SMD_24MHz_ECS-2016MV
kria-k26-devboard,ECS-2016MV-250-CN-TR3,antmicroCrystals:Oscillator_SMD_25MHz_ECS-2016MV
kria-k26-devboard,ECS-2520MVLC-260-CM-TR,antmicroCrystals:Oscillator_SMD_26MHz_ECS_2520MV
kria-k26-devboard,FT4232HPQ,antmicroInterfaceControllers:FT4232HP_QFN
kria-k26-devboard,GSB3112311HR,antmicroUSBDVIHDMIConnectors:USB-A_GSB3112311HR
kria-k26-devboard,JSOM-0515-01,antmicroMechanicalParts:Spacer_H5.15mm_JSOM-0515-01
kria-k26-devboard,KMR2,antmicroPushbuttonSwitches:SW_SPST_KMR211NGLFS
kria-k26-devboard,LG_L29K-G2J1-24-Z,antmicroLEDIndicationDiscrete:LED_G_0603_LG_L29K-G2J1-24-Z
kria-k26-devboard,M24C64-FMC6TG,antmicroMemory:M24C64-F_DFN8
kria-k26-devboard,NB3L202KMNTXG,antmicroClockTimingClockGeneratorsPLLsFrequencySynthesizers:NB3L202KMN
kria-k26-devboard,NC7WZ07P6X,antmicroLogicBuffersDriversReceiversTransceivers:NC7WZ07_SC
kria-k26-devboard,NCP730BMT330TBG,antmicroPMICVoltageRegulatorsLinear:NCP730BMT330_WSON
kria-k26-devboard,NVT4858HKZ,antmicroLogicTranslatorsLevelShifters:NVT4858_XQFN
kria-k26-devboard,NX3241E0100.000000,antmicroOscillators:Oscillator_SMD_100MHz_AX3
kria-k26-devboard,PCA9306D_118,antmicroLogicTranslatorsLevelShifters:PCA9306D_SOIC
kria-k26-devboard,PI4MSD5V9540BUEX,antmicroLogicSignalSwitchesMultiplexersDecoders:PI4MSD5V9540B_MSOP
kria-k26-devboard,PMEG3010CEJ,antmicroDiodesRectifiersSingle:PMEG3010CE_SOD323
kria-k26-devboard,PTVS5V0Z1USKPYL,antmicroTVSDiodes:PTVS5V0Z1USKP
kria-k26-devboard,R_0R_0603_HPWR,antmicroResistors0603:R_0R_22.4A_0603
kria-k26-devboard,R_1M0_0402,antmicroResistors0402:R_1M_0402
kria-k26-devboard,SN65LVDS1DR,antmicroInterfaceDriversReceiversTransceivers:SN65LVDS1_SOIC
kria-k26-devboard,SN74AVC2T245RSWR,antmicroLogicTranslatorsLevelShifters:SN74AVC2T245_UQFN
kria-k26-devboard,SN74LVC1G125DBVR,antmicroLogicBuffersDriversReceiversTransceivers:SN74LVC1G125_SOT
kria-k26-devboard,SRP2010-1R0M,antmicroFixedInductors:L_1u_2.6A_0806
kria-k26-devboard,SSW-106-02-G-D-RA,antmicroRectangularConnectorsHeadersFemalePins:Conn_2x6_P2.54mm_SAMTEC_SSW-106-02-G-D-RA
kria-k26-devboard,TFM201208ALD-1R0MTCA,antmicroFixedInductors:L_1u_2.5A_0805
kria-k26-devboard,TP_SMD_0_75MM,antmicroTestPoints:TP_0.75mm_SMD
kria-k26-devboard,TPD4E05U06QDQARQ1_PASS,antmicroTVSDiodes:TPD4E05U06QDQARQ1_ALT
kria-k26-devboard,USB4105-GF-A,antmicroUSBDVIHDMIConnectors:USB-C_USB4105-GF-A
kria-k26-devboard,WE_68715014522,antmicroFCCConnectors:Conn_FFC_68715014522
kria-k26-devboard,WE-TVS-82400152,antmicroTVSDiodes:82400152
kria-k26-devboard,WE-TVS-824012823,antmicroTVSDiodes:824012823
kria-k26-devboard,XEL4030-222MEC,antmicroFixedInductors:L_2u2_6.1A_XEL4030
kria-k26-devboard,XEL4030-332MEC,antmicroFixedInductors:L_3u3_5.9A_XEL4030
kria-k26-devboard,XLL736027.000000X,antmicroOscillators:Oscillator_SMD_27MHz_JU6
